DATAAREAID,FSMAKEBUYDECISIONID,SORTINGID,Type,ProductionID,Hours,Category,RouteID,NAME,PartCategory,Lvl4FSDs,Lvl1FSDs,Ops,OpsComplete,ProductPool,Cost,V_DIE_PURCHASE_COMPONENT,V_DIE_MSD_COST,V_DIE_LSD,V_DIE_MSD,V_DIE_FSD,V_DIE_COST
gmna,Make,2018,Actual,P00044312,30.5,Process Planning,D3H450275,NEW_CONS_FTD_MISC_LINE_UNDER_5.0_FSDS_PREP,REAR FLOOR,3.51,4.56,1,1,DIE-PREP,2825.825,18739.82,55820.57,0.81,0.28,1.09,214688.16
gmna,Make,2018,Actual,P00043605,318.5,Assembly,D3L300055,NEW-CONS_FTD_UB_BETWN_5.0_7.0_FSD'S_DRAW_LINE_DAS_TL-Stg,QTR INR,5.62,8.8,1,1,DAS,29509.025,39808.98,74756.68,0.76,0.38,1.14,224473.67
gmna,Make,2018,Actual,P00043600,219.1,Assembly,D3L300055,NEW-CONS_FTD_UB_BETWN_5.0_7.0_FSD'S_DRAW_LINE_DAS_TL-Stg,QTR INR,5.62,8.8,1,1,DAS,20299.615,32232.21,73534.65,0.97,0.37,1.34,264366.69
gmna,MAKE,2018,Actual,P00049951,150.7,V6,D3D200580,FTD_FENDER_DD_14-17_FSD,FENDER OTR,11.61,15.39,1,1,DD,14054.282,,,,,,
gmna,MAKE,2018,Actual,P00049951,654.6,Iteration,D3D200580,FTD_FENDER_DD_14-17_FSD,FENDER OTR,11.61,15.39,2,2,DD,61047.996,,,,,,
gmna,MAKE,2018,Actual,P00049951,5652,Iteration,D3D200580,FTD_FENDER_DD_14-17_FSD,FENDER OTR,11.61,15.39,2,2,DD,527105.52,,,,,,
gmna,MAKE,2018,Actual,P00049951,703.5,Iteration,D3D200580,FTD_FENDER_DD_14-17_FSD,FENDER OTR,11.61,15.39,2,2,DD,64999.735,,,,,,
gmna,MAKE,2018,Actual,P00049951,7443.7,Iteration,D3D200580,FTD_FENDER_DD_14-17_FSD,FENDER OTR,11.61,15.39,2,2,DD,688821.103,,,,,,
gmna,MAKE,2018,Actual,P00049951,322,Iteration,D3D200580,FTD_FENDER_DD_14-17_FSD,FENDER OTR,11.61,15.39,2,2,DD,29717.38,,,,,,
gmna,MAKE,2018,Actual,P00047601,897,V2,D3E350080,CONS_FTD_FENDER_IVER2_Line_V2_TOOL,FENDER OTR,11.61,15.39,1,1,V2,82784.13,82399.52,167004.54,1.73,0.85,2.58,508203.68
